                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.82537,                0.75507,                 1.2453,                0.85932,                0.83833,                0.90148,                 0.6945,                0.89794,                0.64272,                 1.3379,               0.005182,               0.005182,               0.005182
                     76,                0.81665,                  0.754,                 1.2384,                0.84477,                0.85606,                0.90539,                0.69885,                0.89097,                0.64164,                 1.3282,               0.005116,               0.005116,               0.005116
                     77,                0.82454,                0.75309,                 1.2441,                 0.8676,                 0.8348,                0.90361,                0.69439,                0.91023,                0.65834,                 1.3501,                0.00505,                0.00505,                0.00505
                     78,                0.82028,                0.75034,                 1.2357,                0.86868,                0.82782,                0.90361,                  0.696,                0.90171,                0.64758,                 1.3456,               0.004984,               0.004984,               0.004984
                     79,                0.81363,                0.73322,                 1.2342,                0.87262,                0.83128,                0.90467,                0.69742,                0.90174,                0.63444,                 1.3503,               0.004918,               0.004918,               0.004918
                     80,                0.82001,                0.74807,                 1.2387,                0.89027,                0.81014,                0.90201,                 0.6962,                0.89883,                0.63414,                 1.3462,               0.004852,               0.004852,               0.004852
                     81,                0.80527,                0.72194,                 1.2314,                0.86965,                0.82867,                0.90188,                0.69474,                0.89308,                0.63372,                 1.3479,               0.004786,               0.004786,               0.004786
                     82,                0.80606,                0.73044,                 1.2316,                0.89004,                0.81996,                0.90334,                0.69527,                0.89315,                0.63909,                 1.3446,                0.00472,                0.00472,                0.00472
                     83,                0.80683,                0.72716,                 1.2346,                0.87712,                0.82778,                0.90184,                0.69521,                0.89611,                0.63721,                 1.3402,               0.004654,               0.004654,               0.004654
                     84,                0.81226,                0.72757,                 1.2365,                0.87253,                 0.8393,                0.90467,                0.70153,                0.88878,                0.63896,                 1.3282,               0.004588,               0.004588,               0.004588
                     85,                  0.793,                0.72056,                 1.2273,                0.86383,                0.84225,                0.90612,                 0.7013,                0.88418,                0.63983,                 1.3299,               0.004522,               0.004522,               0.004522
                     86,                0.79825,                0.71642,                 1.2198,                0.87572,                0.83805,                0.90511,                0.70103,                0.88551,                0.63595,                 1.3315,               0.004456,               0.004456,               0.004456
                     87,                0.79951,                0.71528,                 1.2303,                0.86757,                0.84745,                0.90484,                0.69891,                 0.8919,                  0.632,                 1.3338,                0.00439,                0.00439,                0.00439
                     88,                0.79064,                0.71057,                 1.2209,                0.86193,                0.84818,                0.90657,                0.70108,                0.89101,                0.62315,                 1.3289,               0.004324,               0.004324,               0.004324
                     89,                0.78571,                0.70661,                   1.22,                0.86367,                0.84928,                0.90781,                0.70501,                0.89035,                0.61765,                 1.3302,               0.004258,               0.004258,               0.004258
                     90,                0.79112,                0.70301,                 1.2233,                0.86401,                 0.8469,                0.90787,                0.70427,                0.89688,                0.61661,                 1.3349,               0.004192,               0.004192,               0.004192
                     91,                0.79314,                0.70462,                  1.222,                 0.8704,                0.85118,                0.91005,                 0.7042,                0.89844,                0.62395,                 1.3366,               0.004126,               0.004126,               0.004126
                     92,                0.77916,                0.69388,                   1.21,                0.86931,                0.84993,                0.90883,                0.70473,                0.89515,                0.61872,                 1.3335,                0.00406,                0.00406,                0.00406
                     93,                0.78638,                0.69532,                 1.2098,                0.87909,                0.83934,                0.90936,                0.70394,                0.89201,                0.61867,                 1.3303,               0.003994,               0.003994,               0.003994
